aggregation,model,config,validation_wmape,validation_mae,validation_rmse,validation_mase
community,lagged_linear,"{""lags"": [1], ""max_samples"": 300000}",0.9084198322981755,0.0658848351939579,0.10351884260626076,1.6774600048277106
community,lagged_linear,"{""lags"": [1, 24], ""max_samples"": 300000}",0.9053296374291777,0.06566071307286103,0.10311717812248004,1.6717537464265115
community,lagged_linear,"{""lags"": [1, 2, 24], ""max_samples"": 300000}",0.9020223097072584,0.06542084298840922,0.10257482004164882,1.6656465372054818
community,lagged_linear,"{""lags"": [1, 24, 168], ""max_samples"": 300000}",0.9055007626826795,0.06567312424963595,0.10315560144184235,1.6720697410342462
community,lagged_linear,"{""lags"": [1, 2, 24, 168], ""max_samples"": 300000}",0.9021173302103174,0.06542773452683838,0.10259871947758223,1.6658219991316234
community,seasonal_naive,"{""seasonal_lag"": 1}",0.9383347850835022,0.06805447269417636,0.10733554993474416,1.7327000326865738
community,seasonal_naive,"{""seasonal_lag"": 24}",1.165978513043925,0.08456475677908797,0.12681466800161398,2.1530599097242957
community,seasonal_naive,"{""seasonal_lag"": 168}",1.2271058206180734,0.08899812826899091,0.1360905213734209,2.265935707910061
community,seasonal_naive,"{""seasonal_lag"": 336}",1.2187796385966472,0.08839425645689192,0.13743677580760008,2.2505608373521127
community,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",0.8886140526692828,0.06444838424876417,0.10130637829557615,1.640887263887161
community,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",0.8912816247903554,0.06464185487029413,0.1017731674622798,1.6458131201751862
community,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",0.8999534248154455,0.06527079326989138,0.10284424508862539,1.661826198263928
community,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",0.8858382502461882,0.06424706402360582,0.1011698237846099,1.6357615528662277
community,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",0.8862625624121299,0.0642778380513515,0.10179181780529144,1.636545074606532
community,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",0.8901573732655622,0.06456031644082132,0.10245806122966808,1.6437371120331843
community,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",0.8876368396958131,0.06437751006326388,0.10104220415789177,1.6390827725925938
community,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",0.8878712647726752,0.06439451217727026,0.1013170887847144,1.6395156546990644
community,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",0.8930149781996956,0.06476756954499288,0.10185272676757613,1.6490138770444456
community,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",0.882794623300467,0.06402631932761717,0.10038854405268194,1.6301412853538522
community,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",0.8820828664385953,0.06397469783953941,0.10051190830411483,1.628826977116073
community,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",0.8857329327150786,0.06423942567409661,0.10100198778296123,1.6355670767661226
station,lagged_linear,"{""lags"": [1], ""max_samples"": 300000}",1.0286636472458681,0.38860436401493775,0.5877634278298253,2.034810253402348
station,lagged_linear,"{""lags"": [1, 24], ""max_samples"": 300000}",1.0306793301919974,0.38936584051061596,0.5876083115228012,2.038797496790771
station,lagged_linear,"{""lags"": [1, 2, 24], ""max_samples"": 300000}",1.0330681079456927,0.3902682632434822,0.5868552204590182,2.0435227628962975
station,lagged_linear,"{""lags"": [1, 24, 168], ""max_samples"": 300000}",1.0298261785560805,0.38904354035956906,0.5875064044733864,2.037109868671396
station,lagged_linear,"{""lags"": [1, 2, 24, 168], ""max_samples"": 300000}",1.032128926326966,0.38991346303583707,0.5867377240382369,2.04166495797366
station,seasonal_naive,"{""seasonal_lag"": 1}",1.2199418854956632,0.46086467799023356,0.6947230095371207,2.4131797247893263
station,seasonal_naive,"{""seasonal_lag"": 24}",1.2405220923202154,0.4686393847233465,0.7121896445568575,2.4538896458367554
station,seasonal_naive,"{""seasonal_lag"": 168}",1.2520615316718247,0.4729987071338616,0.721892664453867,2.4767159307687017
station,seasonal_naive,"{""seasonal_lag"": 336}",1.2552496989404798,0.4742031199826349,0.7211025474289106,2.48302247758329
station,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",1.02143769470053,0.3858745730858994,0.5872210722155499,2.020516521559855
station,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",1.0216656345068191,0.38596068325776545,0.5884419614817727,2.0209674116600715
station,tree_lagged,"{""lags"": [1, 24], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",1.0249868008975866,0.38721533997332797,0.5906669224388926,2.0275370454206145
station,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",1.0232311214206102,0.38655208652951156,0.586638995276256,2.0240641175972147
station,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",1.0247006237016323,0.3871072291175325,0.5878746096196577,2.026970955334533
station,tree_lagged,"{""lags"": [1, 2, 24], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",1.029226760422918,0.3888170946180088,0.5906673807522002,2.0359241534313366
station,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",1.022184232958174,0.3861565972690241,0.5872492944743496,2.0219932566474403
station,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",1.0234198724298846,0.38662339211721525,0.5879005777735657,2.0244374879306952
station,tree_lagged,"{""lags"": [1, 24, 168], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",1.0274584016830028,0.3881490512538685,0.5900604325491736,2.0324261446261196
station,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",1.0211964210707414,0.3857834257164861,0.5864730357972833,2.0200392556847717
station,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",1.0236391921840564,0.38670624584089264,0.587267422336725,2.0248713266162146
station,tree_lagged,"{""lags"": [1, 2, 24, 168], ""max_depth"": 16, ""n_estimators"": 300, ""max_samples"": 300000}",1.027493182902633,0.3881621907613939,0.5890035267130015,2.032494945718215
