aggregation,graph_set,fusion_mode,graph,model,history,horizon,input_channels,hidden_dim,dropout,epochs_requested,epochs_ran,best_epoch,train_windows,validation_windows,test_windows,validation_wmape,validation_mae,validation_rmse,validation_mase,test_wmape,test_mae,test_rmse,test_mase,preprocessing_enabled,selected_residual_lag,fusion_weights,milestone,graph_source,run_dir
community,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.21558130596754238,60.03289084862327,126.34984002736506,0.5904683116270588,0.2353095670730675,49.55120510425643,153.1135332758912,0.4873731050329284,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_community_atd
community,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.2153224570207962,59.960809224956726,125.80244457760502,0.589759335030662,0.2349543029446981,49.47639401217044,152.24895555640694,0.48663728207636986,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_community_dc
community,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21668659406990406,60.34068024486781,127.47241129068115,0.5934956501837759,0.23522306700187032,49.53299002348968,153.28553733982056,0.48719394611130307,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_community_de
community,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.2156177258531539,60.043032688185015,126.48035711868668,0.5905680641926636,0.23530550814603687,49.55035038029302,153.3031652677297,0.48736469818447503,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_community_sd
community,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.21556558124568972,60.028511987912836,126.38155975245616,0.590425242262016,0.2352606488236051,49.540903958227375,153.14449759859866,0.4872717855692541,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m32_fusion_equal_community
community,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.21552869934885127,60.01824149216064,126.30221414857148,0.590324224266703,0.23522132438531876,49.532623065395974,153.02578169657687,0.487190336804422,true,56,"{""SD"": 0.21418055891990662, ""DE"": 0.21398824453353882, ""DC"": 0.3382108211517334, ""ATD"": 0.23362034559249878}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m32_fusion_learned_community
station,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,1,15813,1704,4631,0.8781527873116396,2.7231521423748988,6.342168432348322,1.7966690712619862,0.8753610294981705,2.0527001208105458,5.551859040722627,1.3543212522895154,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_station_atd
station,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,24,14,15813,1704,4631,0.8824393257361088,2.736444699732373,6.558798494163166,1.8054391749629572,0.8791391585228733,2.061559740606382,5.690138748633781,1.3601666123862295,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_station_dc
station,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,1,15813,1704,4631,0.8790293992102493,2.7258705162207963,6.371548552733768,1.798462587730292,0.8759245753880001,2.0540216220850525,5.56560516241995,1.3551931464560563,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_station_de
station,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,1,15813,1704,4631,0.8786779507471328,2.7247806743970298,6.3544194411179635,1.7977435367941141,0.8756152749224734,2.0532963200878673,5.555900943433353,1.3547146099668939,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m31_single_station_sd
station,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,1,15813,1704,4631,0.881357176449492,2.7330889543645975,6.412686211205864,1.80322513637896,0.8782948785766597,2.0595799248627173,5.599595726605881,1.358860378460446,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed42\runs\m32_fusion_equal_station
station,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.8791645918317137,2.7262897485936746,6.350606192560187,1.798739186979486,0.8781586772903249,2.05926053619051,5.586923607481434,1.3586496536389654,true,56,"{""SD"": 0.2812083959579468, ""DE"": 0.2808563709259033, ""DC"": 0.13678549230098724, ""ATD"": 0.30114975571632385}",M3.leakage_sensitivity_leaky,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\leaky_full,data\artifacts\experiments\stgnn_milestones_seed42\runs\leakage_leaky_fusion_learned_station
