station_name,pagerank_mean,pagerank_low,pagerank_high,betweenness_mean,betweenness_low,betweenness_high,pagerank,betweenness
Itämerentori,0.013636430437861556,0.013583145188252247,0.013675189598017763,0.2240660781536317,0.19942511916405295,0.26839783228221636,0.013632717517220401,0.24482102908277406
Töölönlahdenkatu,0.010568507219975766,0.01052500454704767,0.010609413090151829,0.1217714562746619,0.1069218337211786,0.14611940715883664,0.010572079833608366,0.13240492170022372
Kamppi (M),0.008300621529639623,0.008265176814401184,0.008337278145345958,0.010586283767832452,0.005323266219239374,0.01658165548098434,0.008299309710903115,0.007104875608467393
Ympyrätalo,0.0082382974899674,0.008206395629840301,0.00826793603272968,0.023179042865333378,0.015698458736636202,0.031416599215315935,0.008237238284854724,0.016671725517970165
Suomenlahdentie,0.00822924419117814,0.008158043882775964,0.008301713731163495,0.022968247276651716,0.011599552572706937,0.03186531932593617,0.008228492184671357,0.021644295302013426
Kalasatama (M),0.008012236144577706,0.007963211531533624,0.008061450952791717,0.4501923038008836,0.42926152012860724,0.47029611142963135,0.00800903858639393,0.43753442829359324
Rautatientori / länsi,0.007841623025111825,0.00781405391365731,0.00787862557855863,0.14728006250491832,0.08674133109619687,0.18351937399525592,0.00784078984076057,0.13990534327116566
Rautatientori / itä,0.007271650818001052,0.007240911726870525,0.007312145331385435,0.026817869549087724,0.01750635447933178,0.03606627516778523,0.007270560280113216,0.027718120805369128
Sörnäinen (M),0.006930822815701416,0.006899928974886447,0.006961367786082241,0.10354032522792936,0.08882294723055996,0.14077796420581654,0.006933584387633232,0.11589485458612976
Arabian kauppakeskus,0.0068742991462514,0.006829879566021605,0.006914620612050292,0.35512914910121074,0.30698014541387025,0.41882067355794633,0.006873058123371087,0.3815048396344137
Niittykumpu (M),0.006704627933248878,0.00663923405697823,0.006763653788823322,0.23258939383719493,0.2050651565995526,0.2551549217002237,0.006702965030899033,0.24282997762863537
Piispansilta,0.006659461083558544,0.006606497380600709,0.006715574328593155,0.07782178453790203,0.05393262172158331,0.09587336570998167,0.00666234523257123,0.0721923937360179
Petter Wetterin tie,0.006619015576756905,0.006564926957267457,0.006692521800840393,0.18620154070126924,0.15736472772138094,0.2134645304261801,0.0066161269398633885,0.15797539149888143
Hietalahdentori,0.006278969604101672,0.006248536924436111,0.006307704476947337,0.014317204591188605,0.008641670320281496,0.0188388812069295,0.006275560562869147,0.013154362416107384
Ooppera,0.006114242641316147,0.006087215665113754,0.0061476444786859,0.09091808258293704,0.07981627516778524,0.11454344991175114,0.006114478851165015,0.09814317673378077
