station_name,community
Arielinkatu,0
Haapaniemenkatu,0
Hakaniemi (M),0
Haukilahdenkatu,0
Isoisänsilta,0
Kaisaniemenpuisto,0
Kalasatama (M),0
Kanavaranta,0
Korkeasaari,0
Kulosaari (M),0
Liisanpuistikko,0
Lintulahdenkatu,0
Merihaka,0
Merisotilaantori,0
Mustikkamaa,0
Näkinsilta,0
Rautatientori / itä,0
Relanderinaukio,0
Senaatintori,0
Sompasaari,0
Teurastamo,0
Toinen linja,0
Tupasaarentie,0
Varsapuistikko,0
Verkkosaari,0
Vilhonvuorenkatu,0
Ympyrätalo,0
Ahertajantie,1
Auringonkatu,1
Avaruuskatu,1
Betonimies,1
Etuniementie,1
Friisilänaukio,1
Golfpolku,1
Hagalundinpuisto,1
Hakalehto,1
Hanasaari,1
Hauenkallio,1
Hauenkalliontie,1
Haukilahdenaukio,1
Haukilahdenranta,1
Innopoli,1
Itäportti,1
Jämeräntaival,1
Kalevalantie,1
Keilalahti,1
Keilaniemi (M),1
Keilaranta,1
Koivu-Mankkaa,1
Koivusaari (M),1
Komeetankatu,1
Kulttuuriaukio,1
Kuunkatu,1
Lehtisaarentie,1
Linnakepolku,1
Louhentori,1
Lukutori,1
Lystimäensilta,1
Lystimäki,1
Länsituuli,1
Maarinranta,1
Mankkaanaukio,1
Mankkaanlaaksontie,1
Matinkartanontie,1
Matinkyläntie,1
Matinlahdenranta,1
Mellstenintie,1
Metsänneidonpolku,1
Mäntyviita,1
Nelikkotie,1
Niittykumpu (M),1
Niittymaa,1
Nokkala,1
Nuottaniementie,1
Olarinluoma,1
Oravannahkatori,1
Orionintie,1
Otaranta,1
Otsolahti,1
Piispankallio,1
Piispanportti,1
Piispansilta,1
Pohjankulma,1
Revontulentie,1
Ruomelantie,1
Sateentie,1
Sepetlahdentie,1
Suomenlahdentie,1
Suurpellonaukio,1
Sähkömies,1
Tapiolan urheilupuisto,1
Tapionaukio,1
Tekniikantie,1
Tietäjä,1
Tiistiläntie,1
Tiistinkallio,1
Tontunmäentie,1
Toppelundinportti,1
Toppelundintie,1
Tuulimäki,1
Urheilupuisto (M),1
Westendinasema,1
Westendintie,1
Ajomiehentie,2
Derby Business Park,2
Elfvik,2
Gallen-Kallelan tie,2
Gransinmäki,2
Haagan tori,2
Hakuninmaa,2
Hankasuontie,2
Honkasuo,2
Huopalahden asema,2
Huopalahdentie,2
Huovitie,2
Hämeenlinnanväylä,2
Ida Aalbergin tie,2
Jalavatie,2
Jännetie,2
Kalannintie,2
Kalkkipellonmäki,2
Kannelmäen asema,2
Kannelmäen liikuntapuisto,2
Kauppakeskus Kaari,2
Kaustisentie,2
Kirjurinkuja,2
Komentajankatu,2
Korppaanmäentie,2
Kriikunakuja,2
Kuninkaantammi,2
Kutsuntatie,2
Kuusisaari,2
Laajalahden aukio,2
Laajalahden keskus,2
Leppävaaran uimahalli,2
Leppävaaran urheilupuisto,2
Leppävaaranaukio,2
Leppävaarankäytävä,2
Linnuntie,2
Läkkitori,2
Majurinkulma,2
Malminkartanon asema,2
Malminkartanonhuippu,2
Marttila,2
Maununneva,2
Meilahden sairaala,2
Munkkiniemen aukio,2
Muurarinkuja,2
Muusantori,2
Mäkkylän asema,2
Näyttelijäntie,2
Paciuksenkaari,2
Paciuksenkatu,2
Painiitty,2
Pajamäki,2
Pajupillintie,2
Pirkkolan liikuntapuisto,2
Pitäjänmäen asema,2
Pohjois-Haagan asema,2
Postipuun koulu,2
Ratsutori,2
Rummunlyöjänkatu,2
Ruskeasuon varikko,2
Ruutikatu,2
Saunalahdentie,2
Seurasaari,2
Säteri,2
Säterinniitty,2
Säterinrinne,2
Takomotie,2
Teljäntie,2
Tenholantie,2
Thalianaukio,2
Tilkantori,2
Tilkanvierto,2
Tollinpolku,2
Torpanranta,2
Trumpettikuja,2
Tunnelitie,2
Tuohipolku,2
Ulvilantie,2
Upseerinkatu,2
Valimon asema,2
Valimotie,2
Vallikatu,2
Vallipolku,2
Vanha Viertotie,2
Vihdintie,2
Viljelijäntie,2
Vähäntuvantie,2
Yhdyskunnankuja,2
Albertinkatu,3
Annankatu,3
Apollonkatu,3
Baana,3
Bermudankuja,3
Cygnaeuksenkatu,3
Designmuseo,3
Eerikinkatu,3
Ehrenströmintie,3
Eläinmuseo,3
