station_name,community
Abraham Wetterin tie,inf_0
Agnetankuja,inf_0
Alakiventie,inf_0
Asentajanpuisto,inf_0
Aurinkolahdenaukio,inf_0
Aurinkotuulenkatu,inf_0
Eränkävijäntori,inf_0
Gunillantie,inf_0
Haakoninlahdenkatu,inf_0
Haapasaarentie,inf_0
Halkaisijantie,inf_0
Herttoniemen kirkko,inf_0
Herttoniemenranta,inf_0
Herttoniemi (M),inf_0
Humalniementie,inf_0
Humikkalankuja,inf_0
Isosaarentie,inf_0
Itäkeskus (M),inf_0
Itäkeskus Metrovarikko,inf_0
Jollas,inf_0
Kaivonkatsojanpuisto,inf_0
Kalkkihiekantie,inf_0
Karhulantie,inf_0
Kauppakeskus Columbus,inf_0
Kivikon liikuntapuisto,inf_0
Kivikonkaari,inf_0
Kivikonlaita,inf_0
Kontula (M),inf_0
Kontulankaari,inf_0
Koukkusaarentie,inf_0
Kurkimäentie,inf_0
Kurkimäki,inf_0
Laajasalon ostoskeskus,inf_0
Laivalahden puistotie,inf_0
Lallukankuja,inf_0
Leikosaarentie,inf_0
Lettopolku,inf_0
Lokitie,inf_0
Mamsellimyllynkatu,inf_0
Margareetankuja,inf_0
Marjaniementie,inf_0
Marjaniemi,inf_0
Mellunmäki (M),inf_0
Meri-Rastilan tori,inf_0
Mosaiikkitori,inf_0
Myllypuro (M),inf_0
Orpaanporras,inf_0
Petter Wetterin tie,inf_0
Peukaloisentie,inf_0
Porolahden koulu,inf_0
Prinsessantie,inf_0
Punakiventie,inf_0
Puotila (M),inf_0
Puotilan ostoskeskus,inf_0
Puotilantie,inf_0
Puotinharju,inf_0
Puotinkylän kartano,inf_0
Purjetie,inf_0
Ramsinniementie,inf_0
Rastila (M),inf_0
Reiherintie,inf_0
Roihupelto,inf_0
Rukatunturintie,inf_0
Sallatunturintie,inf_0
Siilitie (M),inf_0
Siilitie 13,inf_0
Siilitie 9,inf_0
Sinkilätie,inf_0
Sumukuja,inf_0
Tammisalon aukio,inf_0
Tulisuontie,inf_0
Tuukkalantie,inf_0
Ulappasilta,inf_0
Vartioharjuntie,inf_0
Varustuksentie,inf_0
Voikukantie,inf_0
Vuosaaren liikuntapuisto,inf_0
Vuosaaren puistopolku,inf_0
Gyldenintie,inf_1
Hanasaari,inf_1
Heikkilänaukio,inf_1
Heikkiläntie,inf_1
Itälahdenkatu,inf_1
Koivusaari (M),inf_1
Kuikkarinne,inf_1
Lauttasaaren ostoskeskus,inf_1
Luoteisväylä,inf_1
Melkonkuja,inf_1
Puistokaari,inf_1
A.I. Virtasen aukio,inf_2
Agronominkatu,inf_2
Arabian kauppakeskus,inf_2
Arabiankatu,inf_2
Aulangontie,inf_2
Brahen kenttä,inf_2
Brahen puistikko,inf_2
Diakoniapuisto,inf_2
Elimäenkatu,inf_2
Esterinportti,inf_2
Etupellonpuisto,inf_2
Fleminginkatu,inf_2
Gebhardinaukio,inf_2
Hernepellontie,inf_2
Hertanmäenkatu,inf_2
Hollolantie,inf_2
Ilmalan asema,inf_2
Intiankatu,inf_2
Juhana Herttuan tie,inf_2
Jäähalli,inf_2
Karhupuisto,inf_2
Katariina Saksilaisen katu,inf_2
Kirkkoherrantie,inf_2
Koskelan varikko,inf_2
Koskelantie,inf_2
Kustaankartano,inf_2
Kustaankatu,inf_2
Kylävoudintie,inf_2
Käpylän asema,inf_2
Käpyläntie,inf_2
