station_name,mean_rank,std_rank
Näkinsilta,22.0,14.7648230602334
Töölönlahdenkatu,33.0,36.43258614665356
Siilitie (M),43.25,17.38533865071371
Viikin tiedepuisto,56.0,38.47076812334269
Huopalahden asema,67.5,44.762335357604684
Gyldenintie,74.0,42.949582846247374
Itäkeskus (M),79.25,81.90797681951781
Niittykumpu (M),79.5,100.75217119248597
Haukilahdenkatu,80.75,88.10741550327457
Ympyrätalo,83.25,82.60901887808619
Kauppakeskus Kaari,84.25,71.64437637851744
Roihupelto,86.0,69.04587846738814
Takomotie,89.75,51.272962335588396
Voikukantie,90.75,50.029158164680986
Tunnelitie,91.5,70.66588049877159
Vihdintie,92.75,52.89848769104841
Haagan tori,95.25,123.64027121721574
Lauttasaaren ostoskeskus,98.0,66.00505031182588
Ala-Malmin tori,101.75,81.67567977474486
Rastila (M),103.5,89.96480793436213
Varsapuistikko,103.75,38.74166577041657
Mellunmäki (M),104.0,61.465437442517235
Herttoniemi (M),106.0,166.01807130550577
Vilhonvuorenkatu,109.0,146.1300790391903
Käpylän asema,109.5,61.587336360651285
Petter Wetterin tie,111.0,164.87368902688303
Lintulahdenkatu,112.5,64.44894620291838
Pitäjänmäen asema,114.25,80.44200809693072
Toinen linja,119.0,95.13148795220224
Kamppi (M),120.375,196.41341391734593
Viikin normaalikoulu,123.25,85.63634353084754
Töölöntulli,123.5,121.64566028702654
Kalasatama (M),125.25,155.01908484656548
Otaranta,127.0,79.36833961557551
Kirjurinkuja,127.25,120.7542269791552
Majurinkulma,127.75,53.53737012592232
Eränkävijäntori,127.75,95.87622228686318
Kaisaniemenpuisto,129.25,79.5419176702867
Urheilupuisto (M),131.5,165.44989170944376
Siilitie 9,132.5,108.08792717042917
Intiankatu,132.75,62.697022789496685
Ooppera,133.0,196.11221277625725
Puotinharju,134.0,69.61321713582845
Länsituuli,134.125,186.05392363505803
Niittymaa,134.25,127.86288228671629
Baana,135.125,188.47739696490575
Hakaniemi (M),135.5,205.38987316808002
Töölönkatu,135.75,84.72848792859853
Puotilan ostoskeskus,138.5,54.568000390949514
Verkatehtaanpuisto,140.75,168.428768326554
Korppaanmäentie,141.0,110.50490185205965
Kulosaari (M),141.25,121.90535946654137
Marjaniementie,141.5,92.233399590387
Piispansilta,141.5,139.92497989994496
Arabiankatu,141.75,161.65884860821362
Agronominkatu,142.25,78.23628740339528
Puistolan asema,142.75,115.49422784999545
Jämeräntaival,142.75,123.48380460611018
Suomenlahdentie,143.0,122.8359339390012
Myllypuro (M),143.25,63.25279967453351
Puotila (M),144.25,64.15800807381726
Yhdyskunnankuja,144.5,42.883563284783136
Kontula (M),144.75,108.9751500725433
Pukinmäen asema,144.75,142.8574464282489
Agnetankuja,145.0,95.6486626496506
Vanha Viertotie,146.25,129.01776363483182
Lauttasaarensilta,147.0,63.72336044706577
Valimotie,147.0,97.41663102366043
Kauppakorkeakoulu,148.0,128.0807037249041
Itämerentori,150.125,184.3946740915619
Marian sairaala,151.0,141.06972271421913
Koskelantie,151.25,132.05649043748917
Heikkiläntie,154.75,81.30754372545432
Leppävaarankäytävä,155.375,181.59633577433954
Sammonpuistikko,155.5,104.84432904708453
Tapionaukio,155.625,175.06921250370286
Malmin asema,156.625,182.54559932612273
Puotinkylän kartano,157.5,100.34772875689148
Pohjankulma,158.75,87.64464235384462
Oulunkylän asema,159.625,170.2289512196246
Perämiehenkatu,159.75,134.09045454468412
Heikkilänaukio,160.25,114.96195022702076
Mosaiikkitori,160.25,141.2689515309952
Tulisuontie,161.75,102.69818239222477
Kauppakeskus Columbus,161.75,142.79676700355182
Sörnäinen (M),162.875,172.85464751248855
Halkaisijantie,163.5,72.79880951407561
Jännetie,163.5,91.26700754745202
Kalevankatu,163.875,179.70456078426798
Korjaamo,164.25,166.85597581946735
Brahen puistikko,165.0,126.66754385661177
Matinkyläntie,165.25,118.08577391032334
Tyynenmerenkatu,165.75,175.00738079673476
Laajalahden aukio,165.75,185.69935379532154
Narinkka,166.25,126.40246569325036
Hietalahdentori,169.375,174.15097616723256
Teljäntie,169.5,71.96990111613789
Ratsutori,170.125,166.26904652800934
Salmisaarenranta,170.75,138.5312840721065
Valimon asema,171.0,111.40017953306898
Arabian kauppakeskus,171.25,203.76027581449728
Porthania,173.25,134.59166640868472
Abraham Wetterin tie,175.875,163.25969853784082
Ulappasilta,176.75,82.42724064288456
Apollonkatu,178.5,183.39483816799932
Asentajanpuisto,179.5,111.75121177568202
Huopalahdentie,180.5,198.47166044551548
Diakoniapuisto,181.5,121.02203656084016
Aurinkotuulenkatu,181.5,135.59867255987427
Eteläinen Hesperiankatu,181.75,180.29119963732748
Hertanmäenkatu,182.25,134.81932354080405
Brahen kenttä,182.5,85.94765849050223
Esterinportti,182.75,92.81657538751722
Kaivopuisto,182.75,200.1971944525364
Postipuisto,182.75,202.94888519033555
Velodrominrinne,183.125,154.31481620375925
Messeniuksenkatu,185.25,155.1931592134997
Käpyläntie,186.0,84.17046196063478
