station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Itämerentori,299,308,336039.0,338333.0,0.24482102908277406,161.4402095988423,0.013632717517220401,0.3537216016250413
Töölönlahdenkatu,297,299,260328.0,261945.0,0.13240492170022372,161.01057871540618,0.010572079833608366,0.2807668644504897
Kamppi (M),292,289,214924.0,208856.0,0.007104875608467393,158.42050529353563,0.008299309710903115,0.2231320918424251
Ympyrätalo,299,302,190742.0,195583.0,0.016671725517970165,161.8439941180821,0.008237238284854724,0.15923120445515968
Suomenlahdentie,157,146,62999.0,65649.0,0.021644295302013426,140.8154714732065,0.008228492184671357,0.0006719483419337772
Kalasatama (M),276,282,139210.0,144512.0,0.43753442829359324,163.79843196631134,0.00800903858639393,0.06855894339101284
Rautatientori / länsi,286,287,186421.0,190478.0,0.13990534327116566,162.10103764240543,0.00784078984076057,0.17113514114737136
Rautatientori / itä,300,281,171295.0,174311.0,0.027718120805369128,161.74821511226588,0.007270560280113216,0.1512628793733008
Sörnäinen (M),287,299,155498.0,149751.0,0.11589485458612976,162.372627122256,0.006933584387633232,0.09357808540678468
Arabian kauppakeskus,272,287,112163.0,117233.0,0.3815048396344137,163.60826824790703,0.006873058123371087,0.05041742825415376
Niittykumpu (M),172,192,55255.0,55208.0,0.24282997762863537,158.73471893749036,0.006702965030899033,0.002465206768774438
Piispansilta,180,172,55340.0,54382.0,0.0721923937360179,146.85143171461178,0.00666234523257123,0.000834338811953016
Petter Wetterin tie,244,242,45805.0,46752.0,0.15797539149888143,145.80974535575612,0.0066161269398633885,0.005898811315829883
Hietalahdentori,270,265,154608.0,155917.0,0.013154362416107384,159.8390250773436,0.006275560562869147,0.18665943758530096
Ooppera,283,286,140027.0,142038.0,0.09814317673378077,161.3799349569314,0.006114478851165015,0.12735695715347564
Urheilupuisto (M),184,201,48383.0,48849.0,0.036812080536912754,151.47994366748247,0.006097798367011126,0.0010896710250477334
Unioninkatu,257,255,127468.0,149355.0,0.009701752610929367,159.2085891389587,0.006075798906301699,0.14363004120016554
Kanavaranta,263,268,134352.0,140267.0,0.025704697986577183,160.3412752832243,0.0060163852703155035,0.11361660860788302
Huopalahdentie,315,317,84510.0,86918.0,0.16138702460850113,148.25128519349073,0.005829397883094325,0.028605232845322816
Leppävaarankäytävä,214,209,33044.0,35009.0,0.0631906737265747,106.89606476999602,0.005572333082962861,0.00034767830236626107
Narinkka,297,265,130748.0,129787.0,0.0,158.11425240936126,0.005508632349863506,0.11150742475610727
Itäkeskus (M),184,199,22447.0,22133.0,0.026252796420581658,125.85696641116616,0.005487464129377366,0.00040624418370213705
Porthania,257,250,129496.0,131061.0,0.006375838926174497,158.06132573200605,0.005434357496536774,0.11876599129574829
Hakaniemi (M),267,259,120030.0,121182.0,6.711409395973155e-05,160.37090206851812,0.005404166205011244,0.10053294360210159
Apollonkatu,270,261,127987.0,129391.0,0.0002698054028531921,159.18797747887473,0.005361728878907521,0.14290406511051681
Lintulahdenkatu,267,251,108722.0,111426.0,0.198711679201376,163.1618077866246,0.0053001422184900965,0.08270662431785422
Baana,281,285,126738.0,128342.0,0.0,160.1363830380091,0.0052972681540062894,0.17240055358181539
Vilhonvuorenkatu,266,261,100149.0,103376.0,0.0014951716074781064,160.3909244369268,0.005284479954171384,0.06582929068607521
Herttoniemi (M),223,238,36925.0,36006.0,0.019071588366890383,139.31759202534283,0.005179809586609248,0.003648153791204597
Näkinsilta,256,256,104105.0,103746.0,2.2483783571099344e-05,160.4990562329656,0.0049870998424839524,0.0772199894584541
Viikin tiedepuisto,261,270,28843.0,28938.0,0.23038008836126941,151.47498600622268,0.00491552130182351,0.003323156082999839
Tyynenmerenkatu,228,222,121835.0,122999.0,0.0022371364653243847,160.24567362390144,0.0048973217012495945,0.18427270685655775
Haukilahdenkatu,340,342,74189.0,75647.0,0.2313918586219689,162.28793857974532,0.004884004898784903,0.03393478111331048
Liisanpuistikko,244,247,106914.0,109692.0,2.237136465324385e-05,159.49834437315474,0.004858063417103596,0.08693890614587566
Mannerheimintie,258,232,116286.0,117739.0,0.00010067114093959733,155.55789505236368,0.004857082971366892,0.10679917028455059
Korjaamo,289,280,110121.0,110092.0,0.06930626285791373,159.60933048568612,0.004840989605993499,0.0980765931159907
Leppävaaranaukio,195,194,33400.0,34157.0,0.011489213404831765,111.01670376204302,0.004840177773987873,0.00048050371045613583
Diakoniapuisto,281,279,114154.0,102517.0,0.13799422166762224,162.03803385921944,0.004833291225474028,0.06957736998670203
Laajalahden aukio,297,317,65473.0,72808.0,0.14472035794183447,146.83312481248058,0.004823690054656354,0.025560670621145858
Jätkäsaarenlaituri,266,266,117044.0,116694.0,0.0,158.4454293310376,0.0048125130784824575,0.1339589656312472
Kaivopuisto,253,253,109973.0,116219.0,0.006700167504187605,159.44663936349872,0.004761948583608899,0.11345713501775566
Sepänkatu,247,244,118393.0,117803.0,0.0008881094510584241,159.05887913838905,0.004731205557343968,0.14760686823524702
Kaisaniemenpuisto,297,288,104422.0,104960.0,0.01371364653243848,161.96476529263313,0.0046975498689137175,0.08478154009461925
Kiasma,262,260,106933.0,106419.0,0.0,157.33648217510887,0.004608498166513942,0.0899065293558405
Länsituuli,184,194,39154.0,38482.0,0.0698458736636201,145.21452047070895,0.004514946222409208,0.0009712000839991727
Olympiastadion,282,284,96952.0,99488.0,0.0,159.41707836995283,0.004452601932279426,0.0846447460593968
Vanha kirkkopuisto,270,260,106671.0,106579.0,0.0,156.25790973354077,0.004424734286799695,0.11235202584096099
Varsapuistikko,259,252,100741.0,98783.0,0.0,159.4545798890713,0.004418374175259339,0.08570525166714357
Linnanmäki,283,298,97087.0,92234.0,0.0018886378199723449,158.38277334222147,0.00441834050425657,0.0683065668120982
Fleminginkatu,291,292,90797.0,88747.0,0.013299776286353468,160.78901377692964,0.004402613899026835,0.05286146107203509
Länsisatamankatu,254,246,103596.0,104014.0,0.0,159.5390096242469,0.004292746520616321,0.14158511313378602
Tilkanvierto,303,304,72103.0,73588.0,0.0919910514541387,151.69005881459668,0.0042614195431840175,0.03140553919060797
Brahen kenttä,273,276,98823.0,91676.0,0.0,160.09819657016993,0.004239139213505408,0.07530978196300449
Messeniuksenkatu,283,284,92143.0,91530.0,0.0008724832214765102,157.2367634461619,0.004210367109237469,0.07327769161136813
Kirjurinkuja,202,206,28763.0,30770.0,0.07297539149888144,111.37978160207217,0.004164632670688392,0.0007965464100518438
Verkatehtaanpuisto,281,284,54134.0,56640.0,0.21160612907940146,161.20880946093976,0.0041163144292446505,0.021582212241736034
Voikukantie,147,162,14168.0,14026.0,0.09651164097894394,128.4130004752897,0.0041145467537313275,0.00018681871886242615
Töölönkatu,270,256,96217.0,95824.0,0.0017337807606263983,159.0361616982748,0.004098481724496563,0.0982399563382018
Ratsutori,208,215,28120.0,28002.0,0.02938630512742684,109.9584101213959,0.0040317050605053134,0.0005668202764706892
Siilitie (M),189,194,20474.0,21873.0,0.02348993288590604,132.39489728505353,0.004021823136633905,0.0008039088988570859
Gyldenintie,243,243,82873.0,81942.0,0.002765505379245219,154.56285236906035,0.004005011541937669,0.04905847946848509
Lauttasaaren ostoskeskus,270,269,77836.0,76762.0,0.014507829977628636,158.00565375009884,0.003986641628607943,0.07337980143484354
Marian sairaala,275,269,94935.0,93514.0,0.0,158.82179558241762,0.003983715143793587,0.11604614582541335
Isoisänsilta,258,264,72377.0,75410.0,0.00016862837678324508,159.61894245128937,0.00397239640000995,0.046143632184036276
Kauppakorkeakoulu,242,232,97305.0,95062.0,1.1241891785549672e-05,157.83773477829763,0.003920345654455695,0.11241099464651107
Puotila (M),133,138,10943.0,11502.0,0.0073521972277494855,113.0821146707199,0.003901444801714861,0.00012180451210099064
Hernesaarenranta,226,225,86248.0,94912.0,0.0,156.8962524961711,0.003881493158551713,0.09877110427517143
Teurastamo,276,256,69453.0,74018.0,0.0,158.16882482365995,0.0038761238400116436,0.04288256206299422
Niittymaa,166,175,31757.0,32104.0,0.004362416107382551,151.1513332284504,0.0038171603594578767,0.0010637009619268714
Arabiankatu,269,273,54604.0,61660.0,0.0,160.48624037660034,0.003748330395107944,0.02648624512324852
Viiskulma,237,234,92837.0,90662.0,0.002774049217002237,158.26560732061503,0.003739501400644426,0.10405801056431614
Eteläesplanadi,262,252,80088.0,87323.0,0.0,156.4846233196543,0.00372275632310958,0.07984452515197524
Rautatieläisenkatu,310,304,54126.0,53561.0,0.011353467561521254,153.98842063853078,0.0037083243246212394,0.020289330129464073
Intiankatu,274,282,56163.0,56215.0,0.0,159.84609308968385,0.003685786909040649,0.024402537570991863
Koskelantie,281,292,55504.0,55631.0,0.002124717547468888,150.91328763986175,0.0036482462467107403,0.01945964233321751
Töölönlahden puisto,253,268,77751.0,77892.0,0.0,156.18034967521788,0.0036046830477483825,0.07261446756324433
Malmin asema,93,101,2968.0,2907.0,0.017505592841163313,39.23813835177868,0.003578427033122733,2.7336764221873918e-05
Töölöntulli,292,309,71319.0,68725.0,0.00023489932885906043,153.444474349975,0.003533181190600319,0.04627019126244873
Eteläinen Hesperiankatu,275,279,72868.0,74281.0,0.05963087248322148,157.80783439472341,0.003519175993171627,0.06794872793199046
Hietaniemenkatu,256,255,78412.0,80067.0,0.0,157.4504110372331,0.0034868689359881123,0.08941649801996374
Myllypuro (M),158,175,11319.0,10762.0,0.08451901565995526,118.95742518009837,0.0034681427847638897,0.00015300625275792347
Brahen puistikko,262,271,71414.0,69687.0,0.0,156.907118645858,0.0034469446760033817,0.04800219590833072
Esterinportti,299,294,64954.0,62394.0,0.09695749440715884,156.16071539449806,0.00335785521350693,0.03434761632132182
Munkkiniemen aukio,294,302,51886.0,54099.0,0.0,145.9289459399079,0.0033431729415594864,0.022406658506756008
Albertinkatu,244,242,79300.0,78620.0,7.829977628635347e-05,156.16150717442451,0.0032947085418139105,0.09447024956194311
Kalevankatu,249,242,75220.0,73670.0,0.0,155.46028305706864,0.003187260252581677,0.08358178625648102
