strategy,removed_fraction,k_removed,giant_component_ratio_mean,giant_component_ratio_low,giant_component_ratio_high,efficiency_ratio_mean,efficiency_ratio_low,efficiency_ratio_high,path_ratio_mean,path_ratio_low,path_ratio_high
targeted,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
targeted,0.01,4,1.0,1.0,1.0,0.8663561659541924,0.8663561659541924,0.8663561659541924,1.0188436917686075,1.0188436917686075,1.0188436917686075
targeted,0.02,8,1.0,1.0,1.0,0.7875886499084204,0.7875886499084204,0.7875886499084204,1.0454187905299832,1.0454187905299832,1.0454187905299832
targeted,0.05,22,1.0,1.0,1.0,0.5676239154015452,0.5676239154015452,0.5676239154015452,1.2258723778962375,1.2258723778962375,1.2258723778962375
targeted,0.1,44,1.0,1.0,1.0,0.43323321867218056,0.43323321867218056,0.43323321867218056,1.405154402463945,1.405154402463945,1.405154402463945
random,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,0.01,4,1.0,1.0,1.0,0.9934811172929745,0.9532102231038239,1.0088690344018794,1.0082738289799271,0.9852380749435458,1.0551856889243905
random,0.02,8,1.0,1.0,1.0,0.9922995097001706,0.9577049059879421,1.010045850144315,1.0134799498446878,0.9860782406510158,1.0601414673729708
random,0.05,22,1.0,1.0,1.0,0.9711715697231238,0.8879772168344419,1.0198533136845003,1.0439432276992981,1.0022931490885991,1.1077910559580229
random,0.1,44,1.0,1.0,1.0,0.9421718649527914,0.8420591312624701,1.0312652140854834,1.0791233518012304,0.9933475048080843,1.1901041493799338
